Month,Product,Category,Region,Units_Sold,Unit_Price,Discount_Pct,Net_Price,Revenue,Profit_Margin_Pct,Profit,Month_Num,Quarter
2024-01,Wireless Earbuds,Electronics,North,180,3625.16,10,3262.65,587276.56,29.97,176006.79,1,Q1
2024-01,Wireless Earbuds,Electronics,South,152,3402.71,0,3402.71,517211.31,35.32,182679.03,1,Q1
2024-01,Wireless Earbuds,Electronics,East,202,3557.24,0,3557.24,718563.22,37.4,268742.64,1,Q1
2024-01,Wireless Earbuds,Electronics,West,196,3418.48,0,3418.48,670021.68,21.67,145193.7,1,Q1
2024-01,Wireless Earbuds,Electronics,Central,151,3505.93,5,3330.63,502925.63,23.82,119796.89,1,Q1
2024-01,Smart Watch,Electronics,North,119,8739.46,0,8739.46,1039996.27,25.33,263431.06,1,Q1
2024-01,Smart Watch,Electronics,South,103,9204.3,0,9204.3,948043.3,28.28,268106.65,1,Q1
2024-01,Smart Watch,Electronics,East,124,8672.48,5,8238.86,1021618.21,21.41,218728.46,1,Q1
2024-01,Smart Watch,Electronics,West,96,9322.16,20,7457.73,715942.02,34.17,244637.39,1,Q1
2024-01,Smart Watch,Electronics,Central,93,8709.36,10,7838.42,728973.11,26.8,195364.79,1,Q1
2024-01,Bluetooth Speaker,Electronics,North,138,2198.15,0,2198.15,303344.91,36.19,109780.52,1,Q1
2024-01,Bluetooth Speaker,Electronics,South,131,2227.59,0,2227.59,291814.41,28.4,82875.29,1,Q1
2024-01,Bluetooth Speaker,Electronics,East,165,2143.56,20,1714.85,282949.87,33.5,94788.21,1,Q1
2024-01,Bluetooth Speaker,Electronics,West,168,2268.46,5,2155.04,362045.9,36.44,131929.53,1,Q1
2024-01,Bluetooth Speaker,Electronics,Central,117,2145.52,0,2145.52,251025.52,24.51,61526.35,1,Q1
2024-01,Laptop Stand,Electronics,North,125,1275.24,10,1147.71,143464.34,25.14,36066.94,1,Q1
2024-01,Laptop Stand,Electronics,South,109,1303.44,0,1303.44,142074.63,34.04,48362.2,1,Q1
2024-01,Laptop Stand,Electronics,East,118,1349.6,10,1214.64,143327.23,21.97,31488.99,1,Q1
2024-01,Laptop Stand,Electronics,West,104,1331.78,10,1198.6,124654.87,32.58,40612.56,1,Q1
2024-01,Laptop Stand,Electronics,Central,119,1254.73,0,1254.73,149313.43,20.32,30340.49,1,Q1
2024-01,USB-C Hub,Electronics,North,188,1614.77,0,1614.77,303577.19,19.27,58499.32,1,Q1
2024-01,USB-C Hub,Electronics,South,144,1576.64,10,1418.97,204332.21,30.75,62832.15,1,Q1
2024-01,USB-C Hub,Electronics,East,198,1595.45,0,1595.45,315898.26,32.26,101908.78,1,Q1
2024-01,USB-C Hub,Electronics,West,174,1606.84,10,1446.15,251630.92,27.88,70154.7,1,Q1
2024-01,USB-C Hub,Electronics,Central,146,1589.73,0,1589.73,232100.73,20.16,46791.51,1,Q1
2024-01,Winter Jacket,Apparel,North,94,4649.19,0,4649.19,437023.68,28.17,123109.57,1,Q1
2024-01,Winter Jacket,Apparel,South,111,4506.76,5,4281.42,475237.8,33.11,157351.24,1,Q1
2024-01,Winter Jacket,Apparel,East,105,4443.36,0,4443.36,466553.06,21.22,99002.56,1,Q1
2024-01,Winter Jacket,Apparel,West,117,4712.36,5,4476.75,523779.22,35.43,185574.98,1,Q1
